and	AND | A6l
ceremony	SER/-M/-N/-Y | 7E8/-5r/-6/-3
interrupt	AN/TRUP/-T | 8L/8rU5l/-7
jargon	JAR/-G/-N | 5rA8/-3l/-6
apparatus	AP/-R/-T/-S | A5l/-8/-7/-1
candle	KAND/-L | 2A6l/-4
deserved	DSEV/-D | 6rE7r/-5
organise	OR/-G/-N/-SE | O8/-3l/-6/-1r
athletic	A/DS/LET/-K | 8l/6r/5E7/-3r
jug	JUG | 5rU3l
elders	ELD/-RS | E4r/-8r
confidential	K/N/F/DEN/-SH/-L | 2/7l/6l/6E6/-2l/-4
confidential	KON/-F/-D/-N/-SH/-L | 2O6/-7l/-5/-6/-2l/-4
bosses	BOSE/-S | 3O1r/-1
contacted	KONT/-K/-T/-D | 2O6r/-3r/-7/-5
comic	KOM/-K | 2O5r/-3r
executives	ZEK/-T/-V/-S | 4RE3r/-7/-7r/-1
fantasy	FANT/-S/-Y | 6lA6r/-1/-3
fantasy	FANT/-LD/-Y | 6lA6r/-4r/-3
responding	R/SPOND/-NG | 1/7LO6l/-2
agony	AG/-N/-Y | A3l/-6/-3
wonders	WOND/-RS | 1lO6l/-8r
mug	MUG | 3lU3l
smash	S/MASH | 7/3lA2l
politician	POL/-T/-SH/-N | 4O4/-7/-2l/-6
chopped	CHOP/-D | 8RO5l/-5
brandy	BRAND/-Y | 3LA6l/-3
gossip	GOSE/-P | 5lO1r/-5l
loft	LOF/-T | 5O7l/-7
opt	OP/-T | O5l/-7
steadily	STED/-LY | 7rE5/-4l
stocks	STOK/-S | 7rO3r/-1
commas	KOM/-LD | 2O5r/-4r
cents	SENT/-S | 7E6r/-1
tariff	TAR/-F | 8A8/-7l
crackers	KRAK/-RS | 2lA3r/-8r
bombing	BOM/-NG | 3O5r/-2
astonished	A/STON/-SH/-D | 8l/7rO6/-2l/-5
corpus	KOR/-P/-S | 2O8/-5l/-1
mend	MEND | 3lE6l
bodily	BOD/-LY | 3O5/-4l
designated	DES/-G/-N/-T/-D | 6E1/-3l/-6/-7/-5
volumes	VOL/-M/-S | 1rO4/-5r/-1
maritime	MAR/-T/-M | 3lA8/-7/-5r
mathematical	M/DS/MAT/-K/-L | 3l/6r/3lA7/-3r/-4
worships	WOR/-SH/-P/-S | 1lO8/-2l/-5l/-1
starter	START/-R | 7rA8l/-8
tanker	TANK/-R | 8A2r/-8
imported	KN/PORT/-D | 2r/4O8l/-5
alert	A/LERT | 8l/5E8l
hunter	HUNT/-R | 3rU6r/-8
sank	SANK | 7A2r
clerical	KLER/-K/-L | 2RE8/-3r/-4
accepts	A/K/SEP/-T/-S | 8l/2/7E5l/-7/-1
governing	GOV/-R/-N/-NG | 5lO7r/-8/-6/-2
spurs	SPURS | 7LU8r
adverts	AD/-V/-RT/-S | A5/-7r/-8l/-1
apt	AP/-T | A5l/-7
gum	GUM | 5lU5r
descended	DSEND/-D | 6rE6l/-5
flush	FLUSH | 6LU2l
depart	D/PART | 6/4A8l
messy	MESE/-Y | 3lE1r/-3
deserves	DSEV/-S | 6rE7r/-1
connect	KNEK/-T | 2rE3r/-7
pretending	PR/TEND/-NG | 4L/8E6l/-2
fort	FORT | 6lO8l
deserted	DSERT/-D | 6rE8l/-5
competitors	KM/PET/-T/-RS | 1R/4E7/-7/-8r
advocate	AD/-V/-K/-T | A5/-7r/-3r/-7
inspectors	GR/SPEK/-T/-RS | 5L/7LE3r/-7/-8r
conductor	KNUK/-T/-R | 2rU3r/-7/-8
abandon	A/BAND/-N | 8l/3A6l/-6
thyself	DS/SEL/-F | 6r/7E4/-7l
crept	KREP/-T | 2lE5l/-7
bug	BUG | 3U3l
shortfall	SHORT/-F/-L | 5RO8l/-7l/-4
solved	SOL/-V/-D | 7O4/-7r/-5
stockings	STOK/-NG/-S | 7rO3r/-2/-1
meg	MEG | 3lE3l
constructive	KN/STRUK/-T/-V | 2r/7RU3r/-7/-7r
constructive	KN/TRUK/-T/-V | 2r/8rU3r/-7/-7r
beloved	B/LOV/-D | 3/5O7r/-5
cracking	KRAK/-NG | 2lA3r/-2
forthcoming	F/R/DS/KOM/-NG | 6l/1/6r/2O5r/-2
specified	SPESE/-F/-D | 7LE1r/-7l/-5
telecom	TEL/-K/-M | 8E4/-3r/-5r
commended	KMEND/-D | 1RE6l/-5
flock	FLOK | 6LO3r
academy	A/KAD/-M/-Y | 8l/2A5/-5r/-3
stressed	STRESE/-D | 7RE1r/-5
olive	OL/-V | O4/-7r
organism	OR/-G/-N/-S/-M | O8/-3l/-6/-1/-5r
actively	AK/-T/-V/-LY | A3r/-7/-7r/-4l
talents	TAL/-NT/-S | 8A4/-6r/-1
vanished	VAN/-SH/-D | 1rA6/-2l/-5
begging	BEG/-NG | 3E3l/-2
pants	PANT/-S | 4A6r/-1
offended	W/FEND/-D | 1l/6lE6l/-5
herald	HER/-LD | 3rE8/-4r
regulator	REG/-L/-T/-R | 1E3l/-4/-7/-8
buggers	BUG/-RS | 3U3l/-8r
diverted	D/VERT/-D | 6/1rE8l/-5
appetite	AP/-T/-T | A5l/-7/-7
collapsed	KLAP/-S/-D | 2RA5l/-1/-5
collapsed	KLAP/-SE/-D | 2RA5l/-1r/-5
asset	ASE/-T | A1r/-7
neglect	N/G/LEK/-T | 7l/5l/5E3r/-7
lemonade	LEM/-N/-D | 5E5r/-6/-5
corresponding	K/R/SPOND/-NG | 2/1/7LO6l/-2
tracks	TRAK/-S | 8rA3r/-1
rocky	ROK/-Y | 1O3r/-3
expanding	Z/PAND/-NG | 4R/4A6l/-2
graphics	GRAF/-K/-S | 5LA7l/-3r/-1
frog	FROG | 6RO3l
warriors	WAR/-RS | 1lA8/-8r
warriors	WOR/-RS | 1lO8/-8r
astonishing	A/STON/-SH/-NG | 8l/7rO6/-2l/-2
fucked	FUK/-D | 6lU3r/-5
helpless	HEL/-P/-L/-SE | 3rE4/-5l/-4/-1r
solving	SOL/-V/-NG | 7O4/-7r/-2
rack	RAK | 1A3r
cooperative	KOP/-R/-T/-V | 2O5l/-8/-7/-7r
upright	UP/-R/-G/-T | U5l/-8/-3l/-7
bash	BASH | 3A2l
garlic	GAR/-L/-K | 5lA8/-4/-3r
instructed	GR/STRUK/-T/-D | 5L/7RU3r/-7/-5
surname	SUR/-N/-M | 7U8/-6/-5r
corrected	KREK/-T/-D | 2lE3r/-7/-5
tuck	TUK | 8U3r
dragging	D/RAG/-NG | 6/1A3l/-2
genetic	J/NET/-K | 5r/7lE7/-3r
proves	PROV/-S | 4LO7r/-1
philosopher	FLOS/-F/-R | 6LO1/-7l/-8
punish	PUN/-SH | 4U6/-2l
jazz	JAZE | 5rA1l
commands	KMAND/-S | 1RA6l/-1
escort	N/S/KORT | 7l/7/2O8l
escort	ES/-K/-RT | E1/-3r/-8l
punished	PUN/-SH/-D | 4U6/-2l/-5
melancholy	MEL/-NG/-K/-LY | 3lE4/-2/-3r/-4l
furnace	FUR/-N/-SE | 6lU8/-6/-1r
phenomenon	F/NOM/-N/-N | 6l/7lO5r/-6/-6
bottoms	BOT/-M/-S | 3O7/-5r/-1
tag	TAG | 8A3l
reporters	R/PORT/-RS | 1/4O8l/-8r
hockey	HOK/-Y | 3rO3r/-3
porter	PORT/-R | 4O8l/-8
dummy	DUM/-Y | 6U5r/-3
carter	KART/-R | 2A8l/-8
ups	UP/-S | U5l/-1
parameters	PRAM/-T/-RS | 4LA5r/-7/-8r
heavenly	HEV/-N/-LY | 3rE7r/-6/-4l
dilemma	D/LEM/-NK | 6/5E5r/-2r
recommending	R/KMEND/-NG | 1/1RE6l/-2
divert	D/VERT | 6/1rE8l
recognizing	REK/-G/-N/-ZE/-NG | 1E3r/-3l/-6/-1l/-2
chops	CHOP/-S | 8RO5l/-1
pulse	PUL/-SE | 4U4/-1r
photography	F/TOG/-R/-F/-Y | 6l/8O3l/-8/-7l/-3
ass	ASE | A1r
incorporate	GR/KOR/-P/-R/-T | 5L/2O8/-5l/-8/-7
classical	KLASE/-K/-L | 2RA1r/-3r/-4
insert	GR/SERT | 5L/7E8l
donkey	DONG/-K/-Y | 6O2/-3r/-3
hush	HUSH | 3rU2l
projected	PR/JEK/-T/-D | 4L/5rE3r/-7/-5
anchor	ANG/-K/-R | A2/-3r/-8
depressing	D/PRESE/-NG | 6/4LE1r/-2
operators	OP/-R/-T/-RS | O5l/-8/-7/-8r
condemn	KNEM | 2rE5r
mask	MAS/-K | 3lA1/-3r
specialized	SPESH/-L/-ZE/-D | 7LE2l/-4/-1l/-5
sporting	SPORT/-NG | 7LO8l/-2
monopoly	M/NOP/-LY | 3l/7lO5l/-4l
narrative	NAR/-T/-V | 7lA8/-7/-7r
admin	AD/-M/-N | A5/-5r/-6
nappy	NAP/-Y | 7lA5l/-3
shoved	SHOV/-D | 5RO7r/-5
depended	D/PEND/-D | 6/4E6l/-5
seconding	S/KOND/-NG | 7/2O6l/-2
seconding	SEK/-ND/-NG | 7E3r/-6l/-2
respected	R/SPEK/-T/-D | 1/7LE3r/-7/-5
puzzled	PUZE/-LD | 4U1l/-4r
struggled	STRUG/-LD | 7RU3l/-4r
balcony	BAL/-K/-N/-Y | 3A4/-3r/-6/-3
descent	DSENT | 6rE6r
moss	MOSE | 3lO1r
detect	D/TEK/-T | 6/8E3r/-7
mattress	MAT/-R/-SE | 3lA7/-8/-1r
elegant	EL/-G/-NT | E4/-3l/-6r
varnish	VAR/-N/-SH | 1rA8/-6/-2l
muslim	MUS/-L/-M | 3lU1/-4/-5r
potassium	P/TASE/-M | 4/8A1r/-5r
indirect	AN/D/REK/-T | 8L/6/1E3r/-7
philosophical	F/L/SOF/-K/-L | 6l/5/7O7l/-3r/-4
junk	JUNK | 5rU2r
observing	W/B/SEV/-NG | 1l/3/7E7r/-2
constructed	KN/STRUK/-T/-D | 2r/7RU3r/-7/-5
constructed	KN/TRUK/-T/-D | 2r/8rU3r/-7/-5
actors	AK/-T/-RS | A3r/-7/-8r
crashed	KRASH/-D | 2lA2l/-5
bonfire	BON/-F/-R | 3O6/-7l/-8
tents	TENT/-S | 8E6r/-1
preventing	PR/VENT/-NG | 4L/1rE6r/-2
mock	MOK | 3lO3r
stem	STEM | 7rE5r
envelopes	EN/-V/-L/-P/-S | E6/-7r/-4/-5l/-1
tactics	TAK/-T/-K/-S | 8A3r/-7/-3r/-1
helmet	HEL/-M/-T | 3rE4/-5r/-7
impress	KN/PRESE | 2r/4LE1r
popping	POP/-NG | 4O5l/-2
examining	ZAM/-N/-NG | 4RA5r/-6/-2
chef	SHEF | 5RE7l
inverted	GR/VERT/-D | 5L/1rE8l/-5
sharply	SHAR/-P/-LY | 5RA8/-5l/-4l
bending	BEND/-NG | 3E6l/-2
adapted	A/DAP/-T/-D | 8l/6A5l/-7/-5
pentagon	PENT/-G/-N | 4E6r/-3l/-6
parted	PART/-D | 4A8l/-5
neglected	N/G/LEK/-T/-D | 7l/5l/5E3r/-7/-5
perish	PER/-SH | 4E8/-2l
offenders	W/FEND/-RS | 1l/6lE6l/-8r
developers	D/VEL/-P/-RS | 6/1rE4/-5l/-8r
interpreted	GR/TER/-P/-R/-T/-D | 5L/8E8/-5l/-8/-7/-5
enters	ENT/-RS | E6r/-8r
warranty	WAR/-NT/-Y | 1lA8/-6r/-3
warranty	WOR/-NT/-Y | 1lO8/-6r/-3
planting	PLANT/-NG | 4rA6r/-2
defect	D/FEK/-T | 6/6lE3r/-7
removing	R/MOV/-NG | 1/3lO7r/-2
commend	KMEND | 1RE6l
crafty	KRAF/-T/-Y | 2lA7l/-7/-3
phenomena	F/NOM/-N/-NK | 6l/7lO5r/-6/-2r
nominated	NOM/-N/-T/-D | 7lO5r/-6/-7/-5
atoms	AT/-M/-S | A7/-5r/-1
colonies	KOL/-N/-G | 2O4/-6/-3l
backup	BAK/-P | 3A3r/-5l
rash	RASH | 1A2l
examiner	ZAM/-N/-R | 4RA5r/-6/-8
amend	A/MEND | 8l/3lE6l
warrant	WAR/-NT | 1lA8/-6r
warrant	WOR/-NT | 1lO8/-6r
reps	REP/-S | 1E5l/-1
anti	ANT/-Y | A6r/-3
fags	FAG/-S | 6lA3l/-1
puppy	PUP/-Y | 4U5l/-3
bronze	BRON/-ZE | 3LO6/-1l
defects	D/FEK/-T/-S | 6/6lE3r/-7/-1
cement	S/MENT | 7/3lE6r
docks	DOK/-S | 6O3r/-1
elephants	EL/-F/-NT/-S | E4/-7l/-6r/-1
lager	LAG/-R | 5A3l/-8
rag	RAG | 1A3l
francs	FRANK/-S | 6RA2r/-1
geographical	J/GRAF/-K/-L | 5r/5LA7l/-3r/-4
snapped	S/NAP/-D | 7/7lA5l/-5
islamic	N/S/LAM/-K | 7l/7/5A5r/-3r
offset	OF/-S/-T | O7l/-1/-7
lofty	LOF/-T/-Y | 5O7l/-7/-3
realm	REL/-M | 1E4/-5r
socket	SOK/-T | 7O3r/-7
planners	PLAN/-RS | 4rA6/-8r
shuffle	SHUF/-L | 5RU7l/-4
wanker	WANK/-R | 1lA2r/-8
propaganda	PR/P/GAND/-NK | 4L/4/5lA6l/-2r
propaganda	PROP/-G/-ND/-NK | 4LO5l/-3l/-6l/-2r
revolver	R/VOL/-V/-R | 1/1rO4/-7r/-8
levy	LEV/-Y | 5E7r/-3
corrupt	KRUP/-T | 2lU5l/-7
operates	OP/-R/-T/-S | O5l/-8/-7/-1
puzzle	PUZE/-L | 4U1l/-4
lending	LEND/-NG | 5E6l/-2
successive	S/K/SESE/-V | 7/2/7E1r/-7r
theft	DSEF/-T | 6rE7l/-7
modified	MOD/-F/-D | 3lO5/-7l/-5
op	OP | O5l
merrily	MER/-LY | 3lE8/-4l
toss	TOSE | 8O1r
apprentices	A/PRENT/-SE/-S | 8l/4LE6r/-1r/-1
elect	N/LEK/-T | 7l/5E3r/-7
defending	D/FEND/-NG | 6/6lE6l/-2
handing	HAND/-NG | 3rA6l/-2
organisms	OR/-G/-N/-S/-M/-S | O8/-3l/-6/-1/-5r/-1
rhetoric	RET/-R/-K | 1E7/-8/-3r
reflecting	R/FLEK/-T/-NG | 1/6LE3r/-7/-2
confronted	KN/FRONT/-D | 2r/6RO6r/-5
semi	SEM/-Y | 7E5r/-3
proving	PROV/-NG | 4LO7r/-2
governed	GOV/-R/-ND | 5lO7r/-8/-6l
accuracy	AK/-R/-SE/-Y | A3r/-8/-1r/-3
stepping	STEP/-NG | 7rE5l/-2
spectrum	SPEK/-T/-R/-M | 7LE3r/-7/-8/-5r
respective	R/SPEK/-T/-V | 1/7LE3r/-7/-7r
begged	BEG/-D | 3E3l/-5
hem	HEM | 3rE5r
lance	LAN/-SE | 5A6/-1r
targeting	TAR/-G/-T/-NG | 8A8/-3l/-7/-2
lever	LEV/-R | 5E7r/-8
mapping	MAP/-NG | 3lA5l/-2
expects	Z/PEK/-T/-S | 4R/4E3r/-7/-1
misfortune	M/S/FORT/-N | 3l/7/6lO8l/-6
protective	PR/TEK/-T/-V | 4L/8E3r/-7/-7r
spectacle	SPEK/-T/-K/-L | 7LE3r/-7/-3r/-4
floppy	FLOP/-Y | 6LO5l/-3
scarf	S/KAR/-F | 7/2A8/-7l
camel	KAM/-L | 2A5r/-4
casualties	KAS/-L/-T/-G | 2A1/-4/-7/-3l
yonder	YOND/-R | 4lO6l/-8
fastened	FAS/-ND | 6lA1/-6l
ponds	POND/-S | 4O6l/-1
rescued	RES/-K/-D | 1E1/-3r/-5
drums	D/RUM/-S | 6/1U5r/-1
electronics	N/L/K/TRON/-K/-S | 7l/5/2/8rO6/-3r/-1
tart	TART | 8A8l
advertiser	AD/-V/-RT/-S/-R | A5/-7r/-8l/-1/-8
annum	AN/-M | A6/-5r
ashes	ASH/-S | A2l/-1
worlds	WOR/-LD/-S | 1lO8/-4r/-1
consortium	KNORT/-M | 2rO8l/-5r
ladders	LAD/-RS | 5A5/-8r
canvas	KAN/-V/-S | 2A6/-7r/-1
canvas	KAN/-V/-LD | 2A6/-7r/-4r
contractor	KN/RAK/-T/-R | 2r/1A3r/-7/-8
contractor	KN/TRAK/-T/-R | 2r/8rA3r/-7/-8
pops	POP/-S | 4O5l/-1
cracks	KRAK/-S | 2lA3r/-1
rap	RAP | 1A5l
entries	ENT/-R/-G | E6r/-8/-3l
pushes	PUSH/-S | 4U2l/-1
goddess	GOD/-SE | 5lO5/-1r
emphasise	EM/-F/-S/-SE | E5r/-7l/-1/-1r
emphasise	EM/-F/-LD/-SE | E5r/-7l/-4r/-1r
lacking	LAK/-NG | 5A3r/-2
assessing	A/SESE/-NG | 8l/7E1r/-2
carpenter	KAR/-P/-NT/-R | 2A8/-5l/-6r/-8
concerts	KN/SERT/-S | 2r/7E8l/-1
contend	KNEND | 2rE6l
santa	SANT/-NK | 7A6r/-2r
blocking	BLOK/-NG | 3RO3r/-2
underline	UND/-R/-L/-N | U6l/-8/-4/-6
objected	W/B/JEK/-T/-D | 1l/3/5rE3r/-7/-5
regulate	REG/-L/-T | 1E3l/-4/-7
supporter	S/PORT/-R | 7/4O8l/-8
desktop	DES/-K/-T/-P | 6E1/-3r/-7/-5l
caps	KAP/-S | 2A5l/-1
delegated	DEL/-G/-T/-D | 6E4/-3l/-7/-5
gladly	G/LAD/-LY | 5l/5A5/-4l
egalitarianism	N/GAL/-T/-R/-N/-S/-M | 7l/5lA4/-7/-8/-6/-1/-5r
journeys	JUR/-N/-G | 5rU8/-6/-3l
wont	WONT | 1lO6r
classified	KLASE/-F/-D | 2RA1r/-7l/-5
buckets	BUK/-T/-S | 3U3r/-7/-1
grandson	GRAND/-S/-N | 5LA6l/-1/-6
biography	BOG/-R/-F/-Y | 3O3l/-8/-7l/-3
plugs	PLUG/-S | 4rU3l/-1
apprenticeship	A/PRENT/-SE/-SH/-P | 8l/4LE6r/-1r/-2l/-5l
subjected	S/B/JEK/-T/-D | 7/3/5rE3r/-7/-5
remedy	REM/-D/-Y | 1E5r/-5/-3
incoming	AN/KOM/-NG | 8L/2O5r/-2
shovel	SHOV/-L | 5RO7r/-4
philosophers	FLOS/-F/-RS | 6LO1/-7l/-8r
para	PAR/-NK | 4A8/-2r
pending	PEND/-NG | 4E6l/-2
targeted	TAR/-G/-T/-D | 8A8/-3l/-7/-5
presidents	PRES/-D/-NT/-S | 4LE1/-5/-6r/-1
educate	ED/-K/-T | E5/-3r/-7
setup	SET/-P | 7E7/-5l
jockey	JOK/-Y | 5rO3r/-3
scholarship	S/KOL/-R/-SH/-P | 7/2O4/-8/-2l/-5l
burglar	BUR/-G/-L/-R | 3U8/-3l/-4/-8
pegs	PEG/-S | 4E3l/-1
experimental	Z/P/R/MENT/-L | 4R/4/1/3lE6r/-4
experimental	Z/PER/-M/-NT/-L | 4R/4E8/-5r/-6r/-4
suffers	SUF/-RS | 7U7l/-8r
directing	D/REK/-T/-NG | 6/1E3r/-7/-2
baskets	BAS/-K/-T/-S | 3A1/-3r/-7/-1
pretended	PR/TEND/-D | 4L/8E6l/-5
subjective	S/B/JEK/-T/-V | 7/3/5rE3r/-7/-7r
hectare	HEK/-T/-R | 3rE3r/-7/-8
commented	KOM/-NT/-D | 2O5r/-6r/-5
classed	KLASE/-D | 2RA1r/-5
rug	RUG | 1U3l
packs	PAK/-S | 4A3r/-1
wept	WEP/-T | 1lE5l/-7
attendant	A/TEND/-NT | 8l/8E6l/-6r
clash	KLASH | 2RA2l
govern	GOV/-R/-N | 5lO7r/-8/-6
oracle	OR/-K/-L | O8/-3r/-4
blunt	BLUNT | 3RU6r
diameter	DAM/-T/-R | 6A5r/-7/-8
copying	KOP/-Y/-NG | 2O5l/-3/-2
comparatively	KM/PAR/-T/-V/-LY | 1R/4A8/-7/-7r/-4l
reactive	RAK/-T/-V | 1A3r/-7/-7r
hunters	HUNT/-RS | 3rU6r/-8r
passport	PASE/-P/-RT | 4A1r/-5l/-8l
stacks	STAK/-S | 7rA3r/-1
territories	T/R/TOR/-G | 8/1/8O8/-3l
territories	TER/-T/-R/-G | 8E8/-7/-8/-3l
quack	KWAK | 2LA3r
dissolved	DSOL/-V/-D | 6rO4/-7r/-5
marsh	MAR/-SH | 3lA8/-2l
crumbs	KRUM/-S | 2lU5r/-1
destructive	D/STRUK/-T/-V | 6/7RU3r/-7/-7r
fascinated	FASE/-N/-T/-D | 6lA1r/-6/-7/-5
destructive	DS/RUK/-T/-V | 6r/1U3r/-7/-7r
destructive	DS/TRUK/-T/-V | 6r/8rU3r/-7/-7r
tossed	TOSE/-D | 8O1r/-5
tucked	TUK/-D | 8U3r/-5
cop	KOP | 2O5l
precedent	PRESE/-D/-NT | 4LE1r/-5/-6r
rum	RUM | 1U5r
slash	S/LASH | 7/5A2l
spectacular	SP/K/TAK/-L/-R | 7L/2/8A3r/-4/-8
acids	ASE/-D/-S | A1r/-5/-1
allocate	AL/-K/-T | A4/-3r/-7
factual	FAK/-T/-L | 6lA3r/-7/-4
tonic	TON/-K | 8O6/-3r
successes	S/K/SESE/-S | 7/2/7E1r/-1
theoretical	DS/RET/-K/-L | 6r/1E7/-3r/-4
qualifying	KWAL/-F/-NG | 2LA4/-7l/-2
qualifying	KWOL/-F/-NG | 2LO4/-7l/-2
slag	S/LAG | 7/5A3l
trek	TREK | 8rE3r
parishes	PAR/-SH/-S | 4A8/-2l/-1
sunlight	SUN/-L/-G/-T | 7U6/-4/-3l/-7
runners	RUN/-RS | 1U6/-8r
velvet	VEL/-V/-T | 1rE4/-7r/-7
hopper	HOP/-R | 3rO5l/-8
contracted	KN/RAK/-T/-D | 2r/1A3r/-7/-5
contracted	KN/TRAK/-T/-D | 2r/8rA3r/-7/-5
indirectly	AN/D/REK/-T/-LY | 8L/6/1E3r/-7/-4l
buzz	BUZE | 3U1l
adapt	A/DAP/-T | 8l/6A5l/-7
telescope	TEL/-S/-K/-P | 8E4/-1/-3r/-5l
incorrect	AN/KREK/-T | 8L/2lE3r/-7
flashed	FLASH/-D | 6LA2l/-5
flags	FLAG/-S | 6LA3l/-1
ant	ANT | A6r
dragon	D/RAG/-N | 6/1A3l/-6
detectives	D/TEK/-T/-V/-S | 6/8E3r/-7/-7r/-1
corpse	KOR/-P/-SE | 2O8/-5l/-1r
anglia	ANG/-L/-NK | A2/-4/-2r
hop	HOP | 3rO5l
atom	AT/-M | A7/-5r
deputies	DEP/-T/-G | 6E5l/-7/-3l
logs	LOG/-S | 5O3l/-1
crosses	KROSE/-S | 2lO1r/-1
bends	BEND/-S | 3E6l/-1
startled	START/-LD | 7rA8l/-4r
jackets	JAK/-T/-S | 5rA3r/-7/-1
pram	PRAM | 4LA5r
hydrochloric	H/D/R/KLOR/-K | 3r/6/1/2RO8/-3r
starters	START/-RS | 7rA8l/-8r
construct	KN/STRUK/-T | 2r/7RU3r/-7
construct	KN/TRUK/-T | 2r/8rU3r/-7
bankrupt	BANK/-R/-P/-T | 3A2r/-8/-5l/-7
glove	G/LOV | 5l/5O7r
tackled	TAK/-LD | 8A3r/-4r
oft	OF/-T | O7l/-7
logging	LOG/-NG | 5O3l/-2
mom	MOM | 3lO5r
erected	N/REK/-T/-D | 7l/1E3r/-7/-5
necklace	NEK/-L/-SE | 7lE3r/-4/-1r
brushed	BRUSH/-D | 3LU2l/-5
possesses	P/SESE/-S | 4/7E1r/-1
bullying	BULY/-NG | 3U4l/-2
slender	S/LEND/-R | 7/5E6l/-8
attic	AT/-K | A7/-3r
messed	MESE/-D | 3lE1r/-5
dame	DAM | 6A5r
preserving	PR/SEV/-NG | 4L/7E7r/-2
editors	ED/-T/-RS | E5/-7/-8r
summoned	SUM/-ND | 7U5r/-6l
monkeys	MONG/-K/-G | 3lO2/-3r/-3l
gallop	GAL/-P | 5lA4/-5l
effected	N/FEK/-T/-D | 7l/6lE3r/-7/-5
stocking	STOK/-NG | 7rO3r/-2
benedictine	BEN/-D/-K/-T/-N | 3E6/-5/-3r/-7/-6
recollect	R/KLEK/-T | 1/2RE3r/-7
arteries	ART/-R/-G | A8l/-8/-3l
captive	KAP/-T/-V | 2A5l/-7/-7r
harness	HAR/-N/-SE | 3rA8/-6/-1r
satisfying	SAT/-S/-F/-NG | 7A7/-1/-7l/-2
abundant	A/BUND/-NT | 8l/3U6l/-6r
temporarily	T/M/PRAR/-LY | 8/3l/4LA8/-4l
prep	PREP | 4LE5l
photographer	F/TOG/-R/-F/-R | 6l/8O3l/-8/-7l/-8
ankle	ANK/-L | A2r/-4
contracting	KN/RAK/-T/-NG | 2r/1A3r/-7/-2
contracting	KN/TRAK/-T/-NG | 2r/8rA3r/-7/-2
detected	D/TEK/-T/-D | 6/8E3r/-7/-5
accidental	AK/-SE/-D/-NT/-L | A3r/-1r/-5/-6r/-4
enterprises	ENT/-R/-P/-R/-S/-S | E6r/-8/-5l/-8/-1/-1
departmental	D/PR/T/MENT/-L | 6/4L/8/3lE6r/-4
antibiotics	AN/T/BOT/-K/-S | 8L/8/3O7/-3r/-1
carton	KART/-N | 2A8l/-6
lass	LASE | 5A1r
furnish	FUR/-N/-SH | 6lU8/-6/-2l
lettuce	LET/-SE | 5E7/-1r
seminars	SEM/-N/-RS | 7E5r/-6/-8r
analyzed	AN/-L/-ZE/-D | A6/-4/-1l/-5
commanding	KMAND/-NG | 1RA6l/-2
carved	KAV/-D | 2A7r/-5
practised	PRAK/-T/-S/-D | 4LA3r/-7/-1/-5
practised	PRAK/-T/-SE/-D | 4LA3r/-7/-1r/-5
drafted	D/RAF/-T/-D | 6/1A7l/-7/-5
thanked	DSANK/-D | 6rA2r/-5
peg	PEG | 4E3l
contented	KN/TENT/-D | 2r/8E6r/-5
crush	KRUSH | 2lU2l
benefited	BEN/-F/-T/-D | 3E6/-7l/-7/-5
turtle	TURT/-L | 8U8l/-4
polishing	POL/-SH/-NG | 4O4/-2l/-2
parting	PART/-NG | 4A8l/-2
squashed	S/KWASH/-D | 7/2LA2l/-5
squashed	S/KWOSH/-D | 7/2LO2l/-5
clocks	KLOK/-S | 2RO3r/-1
famine	FAM/-N | 6lA5r/-6
cultivated	KUL/-T/-V/-T/-D | 2U4/-7/-7r/-7/-5
washer	WASH/-R | 1lA2l/-8
washer	WOSH/-R | 1lO2l/-8
carving	KAV/-NG | 2A7r/-2
erect	N/REK/-T | 7l/1E3r/-7
leggings	LEG/-NG/-S | 5E3l/-2/-1
bugs	BUG/-S | 3U3l/-1
oscar	OS/-K/-R | O1/-3r/-8
gigantic	J/GANT/-K | 5r/5lA6r/-3r
thankful	DSANK/-F/-L | 6rA2r/-7l/-4
repent	R/PENT | 1/4E6r
speculative	SP/K/LAT/-V | 7L/2/5A7/-7r
speculative	SPEK/-L/-T/-V | 7LE3r/-4/-7/-7r
dissolve	DSOL/-V | 6rO4/-7r
vulgar	VUL/-G/-R | 1rU4/-3l/-8
handset	HAND/-S/-T | 3rA6l/-1/-7
gamma	GAM/-NK | 5lA5r/-2r
defended	D/FEND/-D | 6/6lE6l/-5
inserted	GR/SERT/-D | 5L/7E8l/-5
provident	PROV/-D/-NT | 4LO7r/-5/-6r
sucking	SUK/-NG | 7U3r/-2
tending	TEND/-NG | 8E6l/-2
opted	OP/-T/-D | O5l/-7/-5
dreamt	D/REM/-T | 6/1E5r/-7
chunk	CHUNK | 8RU2r
confessed	KN/FESE/-D | 2r/6lE1r/-5
minorities	M/NOR/-T/-G | 3l/7lO8/-7/-3l
tack	TAK | 8A3r
accommodated	A/KOM/-D/-T/-D | 8l/2O5r/-5/-7/-5
servicing	SEV/-SE/-NG | 7E7r/-1r/-2
legacy	LEG/-SE/-Y | 5E3l/-1r/-3
cam	KAM | 2A5r
corridors	KOR/-D/-RS | 2O8/-5/-8r
corned	KOR/-ND | 2O8/-6l
recovering	R/KOV/-R/-NG | 1/2O7r/-8/-2
distressed	D/STRESE/-D | 6/7RE1r/-5
distressed	DS/RESE/-D | 6r/1E1r/-5
