superiority	S/P/ROR/-T | 7/4/1O8/-7
scan	S/KAN | 7/2A6
banner	BAN/-R | 3A6/-8
betting	BET/-NG | 3E7/-2
coral	KOR/-L | 2O8/-4
bullying	BUL/-NG | 3U4/-2
deposits	D/POS/-T/-S | 6/4O1/-7/-1
cod	KOD | 2O5
dat	DAT | 6A7
rebel	R/BEL | 1/3E4
rebellion	R/BEL/-N | 1/3E4/-6
belts	BEL/-T/-S | 3E4/-7/-1
tolerate	TOL/-R/-T | 8O4/-8/-7
editorial	ED/-T/-R/-L | E5/-7/-8/-4
bonny	BON/-Y | 3O6/-3
popularity	P/P/LAR/-T | 4/4/5A8/-7
lens	LEN/-S | 5E6/-1
tetanus	TET/-N/-S | 8E7/-6/-1
deposited	D/POS/-T/-D | 6/4O1/-7/-5
alt	AL/-T | A4/-7
laddie	LAD/-Y | 5A5/-3
len	LEN | 5E6
rods	ROD/-S | 1O5/-1
edited	ED/-T/-D | E5/-7/-5
scorn	S/KOR/-N | 7/2O8/-6
bon	BON | 3O6
curl	KUR/-L | 2U8/-4
scholar	S/KOL/-R | 7/2O4/-8
rattle	RAT/-L | 1A7/-4
sultan	SUL/-T/-N | 7U4/-7/-6
dreaded	D/RED/-D | 6/1E5/-5
cutter	KUT/-R | 2U7/-8
pets	PET/-S | 4E7/-1
locality	L/KAL/-T | 5/2A4/-7
oddly	OD/-L | O5/-4
butler	BUT/-L/-R | 3U7/-4/-8
paralysed	PAR/-L/-S/-D | 4A8/-4/-1/-5
paddle	PAD/-L | 4A5/-4
desolate	DES/-L/-T | 6E1/-4/-7
loser	LOS/-R | 5O1/-8
lenses	LEN/-S/-S | 5E6/-1/-1
longed	LONG/-D | 5O2/-5
angrily	ANG/-R/-L | A2/-8/-4
penetrate	PEN/-T/-R/-T | 4E6/-7/-8/-7
padded	PAD/-D | 4A5/-5
scorer	S/KOR/-R | 7/2O8/-8
tenor	TEN/-R | 8E6/-8
buds	BUD/-S | 3U5/-1
tat	TAT | 8A7
rattling	RAT/-L/-NG | 1A7/-4/-2
scar	S/KAR | 7/2A8
eddy	ED/-Y | E5/-3
saturn	SAT/-R/-N | 7A7/-8/-6
toddler	TOD/-L/-R | 8O5/-4/-8
bedding	BED/-NG | 3E5/-2
satin	SAT/-N | 7A7/-6
cuttings	KUT/-NG/-S | 2U7/-2/-1
banged	BANG/-D | 3A2/-5
deter	D/TER | 6/8E8
eng	ENG | E2
ut	UT | U7
onset	ON/-S/-T | O6/-1/-7
reset	R/SET | 1/7E7
correlated	KOR/-L/-T/-D | 2O8/-4/-7/-5
dong	DONG | 6O2
dangling	DANG/-L/-NG | 6A2/-4/-2
col	KOL | 2O4
battling	BAT/-L/-NG | 3A7/-4/-2
angus	ANG/-S | A2/-1
sods	SOD/-S | 7O5/-1
bulletin	BUL/-T/-N | 3U4/-7/-6
tonne	TON | 8O6
ultra	UL/-T/-R | U4/-7/-8
rotting	ROT/-NG | 1O7/-2
berry	BER | 3E8
cal	KAL | 2A4
tally	TAL | 8A4
tar	TAR | 8A8
courier	KUR/-R | 2U8/-8
scatter	S/KAT/-R | 7/2A7/-8
salon	SAL/-N | 7A4/-6
rudder	RUD/-R | 1U5/-8
kennel	KEN/-L | 2E6/-4
darn	DAR/-N | 6A8/-6
caste	KAS/-T | 2A1/-7
settings	SET/-NG/-S | 7E7/-2/-1
recurring	R/KUR/-NG | 1/2U8/-2
scanning	S/KAN/-NG | 7/2A6/-2
sodding	SOD/-NG | 7O5/-2
tangle	TANG/-L | 8A2/-4
sullen	SUL/-N | 7U4/-6
burying	BUR/-NG | 3U8/-2
bets	BET/-S | 3E7/-1
khan	KAN | 2A6
scone	S/KON | 7/2O6
scanner	S/KAN/-R | 7/2A6/-8
cult	KUL/-T | 2U4/-7
beset	B/SET | 3/7E7
parlor	PAR/-L/-R | 4A8/-4/-8
dads	DAD/-S | 6A5/-1
cuddling	KUD/-L/-NG | 2U5/-4/-2
battalion	B/TAL/-N | 3/8A4/-6
tongs	TONG/-S | 8O2/-1
bedside	BED/-S/-D | 3E5/-1/-5
runny	RUN/-Y | 1U6/-3
curling	KUR/-L/-NG | 2U8/-4/-2
banning	BAN/-NG | 3A6/-2
teller	TEL/-R | 8E4/-8
sonny	SON/-Y | 7O6/-3
sultanas	S/L/TAN/-S | 7/5/8A6/-1
bustle	BUS/-L | 3U1/-4
batter	BAT/-R | 3A7/-8
karl	KAR/-L | 2A8/-4
cur	KUR | 2U8
bats	BAT/-S | 3A7/-1
resolute	RES/-L/-T | 1E1/-4/-7
burner	BUR/-N/-R | 3U8/-6/-8
lore	LOR | 5O8
unrelated	UN/-R/-L/-T/-D | U6/-8/-4/-7/-5
ballad	BAL/-D | 3A4/-5
pulley	PUL/-Y | 4U4/-3
tatty	TAT/-Y | 8A7/-3
busier	BUS/-R | 3U1/-8
barring	BAR/-NG | 3A8/-2
scullery	S/KUL/-R | 7/2U4/-8
dung	DUNG | 6U2
doddle	DOD/-L | 6O5/-4
rustle	RUS/-L | 1U1/-4
buddy	BUD/-Y | 3U5/-3
rotted	ROT/-D | 1O7/-5
banger	BANG/-R | 3A2/-8
salads	SAL/-D/-S | 7A4/-5/-1
tolerated	TOL/-R/-T/-D | 8O4/-8/-7/-5
cetera	SET/-R | 7E7/-8
sus	SUS | 7U1
slut	S/LUT | 7/5U7
orator	OR/-T/-R | O8/-7/-8
rustling	RUS/-L/-NG | 1U1/-4/-2
uttering	UT/-R/-NG | U7/-8/-2
leaded	LED/-D | 5E5/-5
anglian	ANG/-L/-N | A2/-4/-6
solidly	SOL/-D/-L | 7O4/-5/-4
totality	T/TAL/-T | 8/8A4/-7
atlas	AT/-L/-S | A7/-4/-1
tot	TOT | 8O7
cad	KAD | 2A5
slung	S/LUNG | 7/5U2
pulses	PUL/-S/-S | 4U4/-1/-1
resolutely	RES/-L/-T/-L | 1E1/-4/-7/-4
corporeal	K/R/POR/-L | 2/1/4O8/-4
dreading	D/RED/-NG | 6/1E5/-2
putty	PUT/-Y | 4U7/-3
otter	OT/-R | O7/-8
batting	BAT/-NG | 3A7/-2
cassettes	K/SET/-S | 2/7E7/-1
pun	PUN | 4U6
patting	PAT/-NG | 4A7/-2
tanner	TAN/-R | 8A6/-8
redo	R/DO | 1/6O
potted	POT/-D | 4O7/-5
bunged	BUNG/-D | 3U2/-5
conning	KON/-NG | 2O6/-2
pollen	POL/-N | 4O4/-6
sensual	SEN/-S/-L | 7E6/-1/-4
padre	PAD/-R | 4A5/-8
cellular	SEL/-L/-R | 7E4/-4/-8
salaried	SAL/-R/-D | 7A4/-8/-5
pong	PONG | 4O2
padding	PAD/-NG | 4A5/-2
ballads	BAL/-D/-S | 3A4/-5/-1
pang	PANG | 4A2
pansy	PAN/-S/-Y | 4A6/-1/-3
retaliate	R/TAL/-T | 1/8A4/-7
budding	BUD/-NG | 3U5/-2
dell	DEL | 6E4
lull	LUL | 5U4
serenity	S/REN/-T | 7/1E6/-7
repel	R/PEL | 1/4E4
lateral	LAT/-R/-L | 5A7/-8/-4
scattering	S/KAT/-R/-NG | 7/2A7/-8/-2
solids	SOL/-D/-S | 7O4/-5/-1
canny	KAN/-Y | 2A6/-3
paddling	PAD/-L/-NG | 4A5/-4/-2
patted	PAT/-D | 4A7/-5
telesales	TEL/-S/-L/-S | 8E4/-1/-4/-1
baton	B/TON | 3/8O6
pangs	PANG/-S | 4A2/-1
bern	BER/-N | 3E8/-6
angular	ANG/-L/-R | A2/-4/-8
banns	BAN/-S | 3A6/-1
scud	S/KUD | 7/2U5
dotty	DOT/-Y | 6O7/-3
cadets	K/DET/-S | 2/6E7/-1
pods	POD/-S | 4O5/-1
sol	SOL | 7O4
bustling	BUS/-L/-NG | 3U1/-4/-2
pus	PUS | 4U1
rallied	RAL/-D | 1A4/-5
scuttle	S/KUT/-L | 7/2U7/-4
bangs	BANG/-S | 3A2/-1
slanging	S/LANG/-NG | 7/5A2/-2
canning	KAN/-NG | 2A6/-2
busied	BUS/-D | 3U1/-5
tibetan	T/BET/-N | 8/3E7/-6
bedded	BED/-D | 3E5/-5
rectangular	R/K/TANG/-L/-R | 1/2/8A2/-4/-8
tottering	TOT/-R/-NG | 8O7/-8/-2
arid	AR/-D | A8/-5
porn	POR/-N | 4O8/-6
dud	DUD | 6U5
polarity	P/LAR/-T | 4/5A8/-7
resin	RES/-N | 1E1/-6
lettering	LET/-R/-NG | 5E7/-8/-2
dally	DAL | 6A4
resell	R/SEL | 1/7E4
sled	S/LED | 7/5E5
scholarly	S/KOL/-R/-L | 7/2O4/-8/-4
sanity	SAN/-T/-Y | 7A6/-7/-3
calor	KAL/-R | 2A4/-8
castes	KAS/-T/-S | 2A1/-7/-1
pipette	P/PET | 4/4E7
redoing	R/DONG | 1/6O2
bong	BONG | 3O2
puddle	PUD/-L | 4U5/-4
dungarees	DUNG/-R/-S | 6U2/-8/-1
pallid	PAL/-D | 4A4/-5
parasites	PAR/-S/-T/-S | 4A8/-1/-7/-1
surly	SUR/-L | 7U8/-4
elongated	EL/-NG/-T/-D | E4/-2/-7/-5
bod	BOD | 3O5
pallor	PAL/-R | 4A4/-8
longs	LONG/-S | 5O2/-1
